Name,pitch,length,intensity,slope,duration
StewartBrand_2006_174,72.36,0.53,143.8,-1.3567,2.0224
StewartBrand_2006_22,72.36,0.57,147.31,-1.211,1.5802
StewartBrand_2006_5,72.46,0.34,98.4,-1.0649,1.2981
StewartBrand_2006_135,72.56,0.28,183.02,-2.0883,2.6806
StewartBrand_2006_147,72.77,0.44,142.25,-1.2156,1.6191
StewartBrand_2006_37,72.83,0.4,88.09,-2.6394,1.9224
StewartBrand_2006_108,72.86,0.33,154.59,-1.5686,1.9599
StewartBrand_2006_104,72.96,0.38,150.25,-1.6822,1.6545
StewartBrand_2006_17,73.01,0.52,95.37,-1.4992,1.7352
StewartBrand_2006_99,73.12,0.35,156.63,-1.3599,1.526
StewartBrand_2006_95,73.2,0.53,91.74,-1.8732,2.1588
StewartBrand_2006_11,73.6,0.3,97.71,-1.8521,1.5405
StewartBrand_2006_91,73.76,0.18,163.21,-1.1165,1.3871
StewartBrand_2006_29,73.89,0.42,153.86,-1.5304,2.2472
StewartBrand_2006_110,73.9,0.26,168.91,-1.1819,1.3387
StewartBrand_2006_67,73.94,0.28,96.95,-1.1958,1.3977
StewartBrand_2006_123,74.01,0.25,142.87,-1.8809,2.8438
StewartBrand_2006_167,74.18,0.38,92.25,-1.5832,2.0441
StewartBrand_2006_6,74.54,0.6,95.06,-1.1198,1.3436
StewartBrand_2006_2,74.62,0.17,149.83,-1.7773,1.7637
StewartBrand_2006_107,74.66,0.26,88.56,-1.3504,1.4889
StewartBrand_2006_77,74.72,0.24,181.99,-1.7594,2.4842
StewartBrand_2006_207,74.79,0.55,99.36,-1.57,1.8795
StewartBrand_2006_144,74.8,0.56,169.3,-1.6159,1.8171
StewartBrand_2006_183,74.85,0.4,146.93,-2.0037,2.6145
StewartBrand_2006_54,74.88,0.53,150.13,-1.2216,1.6757
StewartBrand_2006_36,74.91,0.11,99.95,-1.0169,1.8033
StewartBrand_2006_119,74.93,0.43,146.2,-1.2423,1.5076
StewartBrand_2006_1,74.97,0.47,170.77,-1.6996,1.9683
StewartBrand_2006_120,75.06,0.41,150.87,-1.0921,1.4739
StewartBrand_2006_3,75.33,0.33,135.39,-1.5642,1.9151
StewartBrand_2006_178,75.48,0.28,92.49,-1.4182,2.0326
StewartBrand_2006_117,75.5,0.27,149.81,-1.2426,2.0613
StewartBrand_2006_155,75.55,0.27,92.76,-1.3543,1.2475
StewartBrand_2006_177,75.61,0.53,140.03,-1.3196,1.379
StewartBrand_2006_109,75.75,0.35,150.97,-1.4367,2.0163
StewartBrand_2006_80,75.85,0.17,91.54,-2.0556,2.2484
StewartBrand_2006_200,75.91,0.76,158.14,-1.5792,1.9137
StewartBrand_2006_48,76.05,0.39,99.19,-1.7566,1.8475
StewartBrand_2006_118,76.18,0.13,143.33,-0.97442,1.4814
StewartBrand_2006_125,76.38,0.38,134.74,-1.124,1.1746
StewartBrand_2006_152,76.43,0.47,134.87,-1.6355,2.7536
StewartBrand_2006_219,76.45,0.24,84.29,-1.4062,1.3662
StewartBrand_2006_162,76.46,0.13,83.89,-1.6069,1.2213
StewartBrand_2006_85,76.47,0.25,146.93,-1.1464,1.5506
StewartBrand_2006_46,76.64,0.29,136.27,-1.1922,1.0268
StewartBrand_2006_60,76.94,0.31,145.4,-1.305,1.6523
StewartBrand_2006_196,76.95,0.27,157.95,-1.7906,1.8419
StewartBrand_2006_63,76.95,0.15,167.41,-1.0937,1.2479
StewartBrand_2006_87,77.06,0.37,143.13,-1.4343,2.2958
StewartBrand_2006_140,77.1,0.41,97.69,-1.4457,1.5628
StewartBrand_2006_198,77.11,0.47,188.09,-1.7855,2.0327
StewartBrand_2006_75,77.14,0.23,188.37,-1.7962,2.3915
StewartBrand_2006_160,77.15,0.12,84.9,-1.3792,1.4004
StewartBrand_2006_23,77.46,0.33,133.94,-1.0365,1.1206
StewartBrand_2006_86,77.53,0.2,142.12,-1.0166,1.2941
StewartBrand_2006_78,77.68,0.14,160.6,-1.4862,2.105
StewartBrand_2006_122,77.71,0.28,148.24,-0.91031,1.4488
StewartBrand_2006_90,78.09,0.66,134.61,-2.1755,2.5098
StewartBrand_2006_128,78.32,0.42,146.86,-1.314,1.2914
StewartBrand_2006_165,78.33,0.61,148.81,-1.1754,1.126
StewartBrand_2006_121,78.44,0.18,135.23,-1.2406,1.306
StewartBrand_2006_100,78.44,0.22,201.96,-1.4443,1.9617
StewartBrand_2006_220,78.48,0.33,146.33,-1.491,1.6563
StewartBrand_2006_244,78.57,0.26,137.87,-1.5096,1.2084
StewartBrand_2006_79,78.62,0.24,181.94,-1.624,1.9013
StewartBrand_2006_101,78.77,0.3,203.83,-1.1263,1.1508
StewartBrand_2006_102,78.78,0.41,178.05,-1.5521,1.5382
StewartBrand_2006_195,78.93,0.09,160.71,-1.0847,2.0175
StewartBrand_2006_224,78.96,0.77,135.33,-1.7888,1.7438
StewartBrand_2006_232,79.01,0.54,89.76,-1.4219,1.6238
StewartBrand_2006_243,79.06,0.4,138.39,-1.2092,1.489
StewartBrand_2006_231,79.15,0.19,81.6,-1.4177,1.7372
StewartBrand_2006_176,79.28,0.12,78.31,-1.1318,1.1641
StewartBrand_2006_76,79.62,0.22,185.52,-1.3705,1.3675
StewartBrand_2006_193,79.64,0.19,147.56,-1.1759,1.4738
StewartBrand_2006_225,79.85,0.53,133.78,-1.3811,1.2399
StewartBrand_2006_235,79.85,0.41,134.22,-1.2692,1.5569
StewartBrand_2006_233,80.02,0.51,154.37,-1.3201,1.603
StewartBrand_2006_241,80.07,0.26,146.66,-1.3582,1.2203
StewartBrand_2006_237,80.21,0.44,134.71,-1.3268,1.2499
StewartBrand_2006_242,80.27,0.16,92.27,-1.1126,1.5815
StewartBrand_2006_239,80.28,0.56,180.19,-1.4236,1.2943
StewartBrand_2006_236,80.71,0.24,203.24,-1.3548,1.3505
StewartBrand_2006_7,59.02,0.53,111.94,-1.6425,1.4525
StewartBrand_2006_182,60.06,0.44,116.17,-1.9416,2.0657
StewartBrand_2006_58,62.42,0.32,125.84,-1.8659,2.7525
StewartBrand_2006_21,63.11,0.15,104.96,-1.6455,2.2681
StewartBrand_2006_172,63.29,0.61,125.36,-1.8457,2.2545
StewartBrand_2006_31,65.3,0.44,114.98,-1.4074,1.446
StewartBrand_2006_96,65.79,0.61,102.58,-1.8427,2.0538
StewartBrand_2006_59,65.79,0.19,130.2,-1.9585,2.695
StewartBrand_2006_70,65.83,0.7,104.82,-1.5775,2.0421
StewartBrand_2006_111,65.97,0.24,113.14,-1.5008,1.4927
StewartBrand_2006_175,66.18,0.31,115.23,-1.7078,2.1213
StewartBrand_2006_19,66.54,0.42,118.76,-1.806,2.5447
StewartBrand_2006_180,67.55,0.75,109.59,-1.5357,1.6149
StewartBrand_2006_57,67.59,0.87,106.29,-1.5667,1.4719
StewartBrand_2006_73,68.72,0.53,106.68,-1.5086,1.728
StewartBrand_2006_12,68.92,0.32,125.04,-1.4399,1.8623
StewartBrand_2006_129,69.4,0.87,127.14,-1.7936,1.894
StewartBrand_2006_18,69.54,0.61,119.26,-1.4565,1.3048
StewartBrand_2006_192,69.65,0.1,133.17,-1.7987,2.3593
StewartBrand_2006_64,70.83,0.65,124.84,-1.2659,1.7717
StewartBrand_2006_124,70.94,0.16,117.67,-1.6562,1.5298
StewartBrand_2006_15,70.98,0.43,116.46,-1.251,1.356
StewartBrand_2006_246,71.43,0.42,109.7,-1.564,1.7923
StewartBrand_2006_61,71.71,0.73,117.12,-1.1865,1.3853
StewartBrand_2006_161,72.38,0.34,101.55,-1.3708,1.728
StewartBrand_2006_50,72.45,0.52,105.08,-1.357,1.5436
StewartBrand_2006_170,72.49,0.5,123.18,-1.3675,1.2886
StewartBrand_2006_113,72.52,0.35,114.61,-1.934,2.1502
StewartBrand_2006_156,72.58,0.89,128.25,-1.5535,2.1543
StewartBrand_2006_206,72.7,0.35,130.77,-2.0404,2.3365
StewartBrand_2006_98,72.87,0.55,131.2,-1.5075,2.5026
StewartBrand_2006_16,73.5,0.3,105.32,-1.6102,1.8918
StewartBrand_2006_94,73.64,0.51,120.64,-2.0774,2.3997
StewartBrand_2006_66,73.69,0.49,115.54,-1.2905,1.7294
StewartBrand_2006_188,73.75,0.23,--undefined--,-2.6435,2.3906
StewartBrand_2006_55,73.86,0.53,116.2,-1.8165,1.7676
StewartBrand_2006_153,73.87,0.13,103.48,-1.1528,2.4683
StewartBrand_2006_133,74.01,0.41,105.43,-1.4193,1.7258
StewartBrand_2006_212,74.04,0.73,113.01,-1.18,1.3504
StewartBrand_2006_24,74.11,0.13,121.89,-1.6711,2.9259
StewartBrand_2006_199,74.17,0.2,117.94,-1.2273,2.4218
StewartBrand_2006_130,74.25,0.19,101.82,-1.9152,1.4891
StewartBrand_2006_14,74.25,0.37,109.64,-1.1675,1.3603
StewartBrand_2006_136,74.26,0.16,115.42,-1.3774,1.8409
StewartBrand_2006_157,74.48,0.1,--undefined--,-1.721,1.8303
StewartBrand_2006_42,74.49,0.22,111.98,-1.403,1.8194
StewartBrand_2006_187,74.52,0.42,118.84,-1.5699,2.3037
StewartBrand_2006_197,74.53,0.65,113.23,-1.3695,1.5992
StewartBrand_2006_114,74.54,0.34,130.3,-1.9807,1.8296
StewartBrand_2006_13,74.55,0.36,111.04,-1.9293,2.1748
StewartBrand_2006_126,74.6,0.68,121.22,-1.574,1.6713
StewartBrand_2006_112,74.61,0.48,103.47,-1.5485,1.7576
StewartBrand_2006_116,74.66,0.24,114.4,-1.4368,1.9581
StewartBrand_2006_97,74.8,0.44,120.94,-1.769,2.2148
StewartBrand_2006_83,74.86,0.49,127.68,-1.6657,1.8359
StewartBrand_2006_4,74.9,0.51,126.65,-1.4864,1.4915
StewartBrand_2006_92,74.91,0.29,124.25,-2.1768,2.9582
StewartBrand_2006_215,74.92,0.15,100.04,-1.5214,2.2469
StewartBrand_2006_45,74.92,0.17,129.52,-1.4342,1.8117
StewartBrand_2006_173,74.94,0.64,131.46,-1.5942,2.3235
StewartBrand_2006_35,75,0.43,114.36,-1.3586,1.4412
StewartBrand_2006_44,75.01,0.29,100.49,-2.03,2.737
StewartBrand_2006_49,75.04,0.11,104.49,-1.2746,2.0856
StewartBrand_2006_138,75.08,0.53,129.13,-1.5363,2.4672
StewartBrand_2006_201,75.12,0.62,118.39,-1.4291,1.7181
StewartBrand_2006_32,75.13,0.56,130.86,-2.0821,2.3507
StewartBrand_2006_106,75.16,0.42,114.86,-1.2772,1.5371
StewartBrand_2006_159,75.36,0.3,106.51,-1.1822,1.4871
StewartBrand_2006_10,75.52,0.46,122.83,-1.9665,1.9512
StewartBrand_2006_68,75.58,0.35,116.41,-1.644,2.0371
StewartBrand_2006_82,75.69,0.74,102.82,-1.8363,2.0772
StewartBrand_2006_9,75.85,0.12,102.72,-1.1307,1.5578
StewartBrand_2006_127,75.94,0.29,113.66,-1.2145,1.7022
StewartBrand_2006_33,76.02,0.4,113.8,-1.1816,1.0776
StewartBrand_2006_210,76.02,0.28,117.4,-1.3823,2.2117
StewartBrand_2006_216,76.12,0.11,100.96,-1.172,1.6788
StewartBrand_2006_71,76.35,0.64,111.4,-1.0143,1.3968
StewartBrand_2006_214,76.37,0.23,103.23,-1.7842,1.9915
StewartBrand_2006_205,76.39,0.11,--undefined--,-2.6266,1.7651
StewartBrand_2006_154,76.63,0.31,113.39,-1.0292,1.3797
StewartBrand_2006_115,76.75,0.19,117.59,-1.9881,1.7576
StewartBrand_2006_131,76.9,0.3,132.34,-1.207,1.8115
StewartBrand_2006_41,76.93,0.13,103.85,-1.2595,1.5521
StewartBrand_2006_56,77.06,0.13,105.91,-1.4801,5.1032
StewartBrand_2006_204,77.16,0.23,117.72,-1.9874,1.9797
StewartBrand_2006_211,77.17,0.11,109.9,-2.1321,6.3863
StewartBrand_2006_8,77.34,0.32,125.91,-0.96335,1.2248
StewartBrand_2006_141,77.36,0.46,107.03,-1.1353,1.5128
StewartBrand_2006_166,77.55,0.2,108.04,-1.0067,1.0912
StewartBrand_2006_81,77.61,0.16,115.53,-1.5677,2.2339
StewartBrand_2006_43,77.61,0.43,118.58,-0.94232,1.1421
StewartBrand_2006_137,77.63,0.18,114.3,-1.3053,1.8257
StewartBrand_2006_93,77.68,0.26,129.74,-1.0525,3.0708
StewartBrand_2006_189,77.72,0.24,109.28,-1.281,1.5992
StewartBrand_2006_132,77.82,0.24,125.58,-1.0155,1.213
StewartBrand_2006_227,78.04,0.44,103.75,-1.3935,1.7852
StewartBrand_2006_228,78.1,0.47,131.92,-1.834,1.7467
StewartBrand_2006_89,78.12,0.16,123.3,-1.2345,1.2761
StewartBrand_2006_245,78.18,0.53,133.17,-1.3484,1.4406
StewartBrand_2006_26,78.22,0.19,108.53,-1.0584,1.1907
StewartBrand_2006_139,78.25,0.17,105.65,-1.0731,1.3874
StewartBrand_2006_186,78.25,0.18,114.83,-1.702,2.283
StewartBrand_2006_74,78.42,0.23,106.81,-0.83512,1.3853
StewartBrand_2006_221,78.42,0.54,128.72,-1.1856,1.3281
StewartBrand_2006_185,78.47,0.59,118.64,-1.3303,1.1891
StewartBrand_2006_229,78.54,0.57,127.51,-1.2919,1.6323
StewartBrand_2006_30,78.96,0.21,132.1,-0.94767,1.6122
StewartBrand_2006_158,79.04,0.26,118.15,-0.9193,1.2893
StewartBrand_2006_223,79.05,0.44,132.33,-1.9311,1.5394
StewartBrand_2006_188_2,79.09,0.23,119.5,-2.1591,2.3617
StewartBrand_2006_190,79.1,0.27,101.4,-1.2444,1.307
StewartBrand_2006_105,79.12,0.14,133.7,-1.0237,1.3614
StewartBrand_2006_148,79.17,0.18,129.96,-0.90254,1.4601
StewartBrand_2006_222,79.3,0.8,101.78,-1.4404,1.6938
StewartBrand_2006_218,79.7,0.44,124.45,-1.3625,1.5876
StewartBrand_2006_240,79.73,0.63,109.73,-1.3836,1.2231
StewartBrand_2006_226,79.98,0.85,111.48,-1.4026,1.6429
StewartBrand_2006_230,80.12,0.65,114.46,-1.2627,1.3365
StewartBrand_2006_238,80.2,0.48,109.62,-1.4701,1.3924
